Fecha / hora,Cliente,Nº  venta,Importe,Forma de pago,Revisada,Crédito,Estatus venta,V. no facturable
01/09/2023 03:23 PM,PUBLICO EN GENERAL,355396,200.00,Efectivo,0,0,Venta generada,
01/09/2023 03:37 PM,PUBLICO EN GENERAL,355391,100.00,Efectivo,0,0,Venta generada,
01/09/2023 03:39 PM,PUBLICO EN GENERAL,355393,150.00,Efectivo,0,0,Venta generada,
01/09/2023 03:46 PM,PUBLICO EN GENERAL,355392,265.20,Tarjeta de Debito,0,0,Vta. enviada a web,
01/09/2023 03:52 PM,PUBLICO EN GENERAL,355395,110.50,Efectivo,0,0,Venta generada,
01/09/2023 03:52 PM,PUBLICO EN GENERAL,355398,200.00,Efectivo,0,0,Venta generada,
01/09/2023 04:03 PM,PUBLICO EN GENERAL,355394,100.00,Tarjeta de Debito,0,0,Vta. enviada a web,
01/09/2023 04:05 PM,PUBLICO EN GENERAL,355400,202.63,Efectivo,0,0,Venta generada,
01/09/2023 04:11 PM,PUBLICO EN GENERAL,355397,442.00,Tarjeta de Debito,0,0,Vta. enviada a web,
01/09/2023 04:11 PM,PUBLICO EN GENERAL,355402,88.40,Efectivo,0,0,Venta generada,
01/09/2023 04:19 PM,PUBLICO EN GENERAL,355399,221.00,Tarjeta de Debito,0,0,Vta. enviada a web,
01/09/2023 04:22 PM,PUBLICO EN GENERAL,355401,420.19,Efectivo,0,0,Vta. enviada a web,
01/09/2023 04:23 PM,PUBLICO EN GENERAL,355403,100.00,Efectivo,0,0,Venta generada,
01/09/2023 04:25 PM,PUBLICO EN GENERAL,355407,812.48,Efectivo,0,0,Venta generada,
01/09/2023 04:26 PM,PUBLICO EN GENERAL,355404,241.90,Efectivo,0,0,Venta generada,
01/09/2023 04:32 PM,PUBLICO EN GENERAL,355405,221.00,Tarjeta de Debito,0,0,Vta. enviada a web,
01/09/2023 04:33 PM,PUBLICO EN GENERAL,355409,88.40,Efectivo,0,0,Venta generada,
01/09/2023 04:33 PM,PUBLICO EN GENERAL,355413,200.00,Efectivo,0,0,Venta generada,
01/09/2023 04:35 PM,PUBLICO EN GENERAL,355406,286.00,Tarjeta de Debito,0,0,Vta. enviada a web,
01/09/2023 04:39 PM,PUBLICO EN GENERAL,355411,300.00,Efectivo,0,0,Venta generada,
01/09/2023 04:39 PM,PUBLICO EN GENERAL,355408,221.00,Efectivo,0,0,Vta. enviada a web,
01/09/2023 04:41 PM,PUBLICO EN GENERAL,355410,221.00,Efectivo,0,0,Venta generada,
01/09/2023 04:43 PM,PUBLICO EN GENERAL,355415,100.00,Efectivo,0,0,Venta generada,
01/09/2023 04:45 PM,PUBLICO EN GENERAL,355414,250.00,Efectivo,0,0,Venta generada,
01/09/2023 04:45 PM,PUBLICO EN GENERAL,355412,600.00,Efectivo,0,0,Vta. enviada a web,
01/09/2023 04:49 PM,PUBLICO EN GENERAL,355418,500.00,Efectivo,0,0,Venta generada,
01/09/2023 04:49 PM,PUBLICO EN GENERAL,355416,200.00,Efectivo,0,0,Venta generada,
01/09/2023 04:50 PM,PUBLICO EN GENERAL,355419,80.00,Efectivo,0,0,Venta generada,
01/09/2023 04:53 PM,PUBLICO EN GENERAL,355421,200.00,Efectivo,0,0,Venta generada,
01/09/2023 04:53 PM,PUBLICO EN GENERAL,355417,400.00,Efectivo,0,0,Vta. enviada a web,
01/09/2023 04:55 PM,PUBLICO EN GENERAL,355420,400.00,Efectivo,0,0,Vta. enviada a web,
01/09/2023 04:56 PM,PUBLICO EN GENERAL,355424,200.00,Efectivo,0,0,Venta generada,
01/09/2023 04:58 PM,PUBLICO EN GENERAL,355422,221.00,Efectivo,0,0,Venta generada,
01/09/2023 05:00 PM,PUBLICO EN GENERAL,355423,300.00,Efectivo,0,0,Venta generada,
01/09/2023 05:02 PM,PUBLICO EN GENERAL,355427,221.00,Efectivo,0,0,Venta generada,
01/09/2023 05:03 PM,PUBLICO EN GENERAL,355425,300.00,Efectivo,0,0,Venta generada,
01/09/2023 05:05 PM,PUBLICO EN GENERAL,355435,200.00,Efectivo,0,0,Venta generada,
01/09/2023 05:05 PM,PUBLICO EN GENERAL,355438,300.00,Efectivo,0,0,Venta generada,
01/09/2023 05:06 PM,PUBLICO EN GENERAL,355426,300.00,Efectivo,0,0,Vta. enviada a web,
01/09/2023 05:11 PM,PUBLICO EN GENERAL,355428,200.00,Efectivo,0,0,Vta. enviada a web,
01/09/2023 05:11 PM,PUBLICO EN GENERAL,355430,450.11,Efectivo,0,0,Venta generada,
01/09/2023 05:12 PM,PUBLICO EN GENERAL,355429,150.00,Efectivo,0,0,Venta generada,
01/09/2023 05:20 PM,PUBLICO EN GENERAL,355431,150.00,Efectivo,0,0,Venta generada,
01/09/2023 05:21 PM,PUBLICO EN GENERAL,355433,150.00,Efectivo,0,0,Venta generada,
